ASS_NR;IFOPT
559;de:05315:18772
560;de:05315:18773
561;de:05315:18775
562;de:05315:18861
563;de:05315:18862
564;de:05315:18863
565;de:05315:18864
566;de:05315:19664
567;de:05315:19011
568;de:05315:19012
569;de:05315:19111
570;de:05315:19211
571;de:05315:19232
572;de:05315:19201
573;de:05315:19252
574;de:05315:19253
577;de:05315:19311
578;de:05315:19312
579;de:05315:19313
580;de:05315:19353
581;de:05315:17852
582;de:05315:19351
583;de:05315:19411
584;de:05315:19412
585;de:05315:19413
586;de:05315:19401
587;de:05315:19452
588;de:05315:19453
589;de:05315:19454
590;de:05315:19455
591;de:05315:19461
592;de:05315:19462
593;de:05315:19463
594;de:05315:19510
595;de:05315:19511
596;de:05315:19512
597;de:05315:18551
598;de:05315:19571
599;de:05315:19572
600;de:05315:19573
601;de:05315:19575
602;de:05315:19579
603;de:05315:19580
604;de:05315:19501
605;de:05315:19611
606;de:05315:19612
607;de:05315:19613
608;de:05315:19614
609;de:05315:19615
610;de:05315:19651
611;de:05315:19652
612;de:05315:19653
613;de:05315:19654
614;de:05315:19655
615;de:05315:19656
616;de:05315:19657
617;de:05315:19658
618;de:05315:19659
619;de:05315:19660
620;de:05315:19661
621;de:05315:15650
622;de:05315:19671
623;de:05315:19672
624;de:05315:19673
625;de:05315:17202
626;de:05315:19675
627;de:05315:19676
628;de:05382:53111
629;de:05315:19682
630;de:05315:19665
631;de:05315:19711
632;de:05315:19712
633;de:05315:19713
634;de:05315:19751
635;de:05315:19752
636;de:05315:19753
637;de:05315:19761
638;de:05315:19762
639;de:05315:19763
640;de:05315:19850
641;de:05315:19851
642;de:05315:19861
644;de:05315:19872
645;de:05315:19873
646;de:05315:15158
647;de:05315:19951
648;de:05315:19952
649;de:05315:19970
650;de:05315:19971
651;de:05315:17254
652;de:05315:17764
653;de:05315:11808
654;de:05315:18360
655;de:05378:31512
656;de:05315:17765
657;de:05315:18401
658;de:05315:17460
659;de:05315:14356
661;de:05315:14460
662;de:05315:19667
663;de:05316:23111
665;de:05378:31515
666;de:05378:31513
667;de:05378:31514
668;de:05378:31611
669;de:05378:31612
670;de:05378:31613
671;de:05378:31614
672;de:05382:53110
673;de:05382:53211
674;de:05382:53310
675;de:05382:53311
676;de:05382:53411
677;de:05382:53412
678;de:05382:53611
679;de:05382:53613
680;de:05382:53614
681;de:05382:53711
682;de:05315:18651
683;de:05314:61207
684;de:05314:61208
685;de:05314:61209
686;de:05314:61110
687;de:05314:61101
688;de:05314:61712
689;de:05314:61713
690;de:05314:62114
691;de:05314:62115
692;de:05314:62116
693;de:05314:64306
694;de:05314:64407
695;de:05314:64608
696;de:05314:64209
697;de:05314:64210
698;de:05314:66606
699;de:05314:66707
700;de:05314:66708
701;de:05314:66109
702;de:05315:13702
703;de:05315:17669
704;de:05362:81254
705;de:05362:81252
706;de:05362:81253
707;de:05362:82351
708;de:05362:82409
709;de:05362:82410
710;de:05362:82411
711;de:05362:82412
712;de:05362:82413
713;de:05315:13913
714;de:05362:82453
715;de:05362:82454
716;de:05362:82455
717;de:05362:82461
718;de:05362:82462
719;de:05315:11356
720;de:05362:82466
721;de:05362:82467
722;de:05362:82469
723;de:05362:82851
724;de:05362:82861
725;de:05362:82862
726;de:05362:82863
727;de:05362:82864
728;de:05362:82865
729;de:05362:82866
730;de:05362:83611
731;de:05362:83711
732;de:05362:83910
733;de:05362:83911
734;de:05362:84109
735;de:05362:84110
736;de:05362:84111
737;de:05362:84311
738;de:05362:84611
739;de:05362:84711
740;de:05362:85110
741;de:05362:85111
742;de:05362:85112
743;de:05362:85410
744;de:05315:11357
745;de:05315:17559
746;de:05315:16068
