EVA_NR;IFOPT;NAME
8000778;de:09779:5954;Bäumenheim
8000779;de:02000:21953;Hamburg-Allermöhe
8000780;de:02000:80954;Hamburg-Bahrenfeld
8000781;de:09184:2550;Baierbrunn
8000782;de:08237:1201;Baiersbronn Bf
8000783;de:09572:6320;Baiersdorf
8000784;de:09372:2810;Balbersdorf
8000785;de:09175:4010;Baldham
8000786;de:07141:11021;Balduinstein
8000787;de:08327:3000;Balgheim
8000788;de:08417:32113;Balingen Süd
8000789;de:08237:1202;Baiersbronn Schule
8000792;de:10046:8000792;Baltersweiler
8000793;de:05962:3000;Balve
8000794;de:08226:200;Bammental
8000796;de:03254:21636;Banteln
8000797;de:03241:7344;Bantorf
8000800;de:03452:67948;Norden
8000801;de:03355:8000801;Bardowick
8000802;de:07337:2715;Barbelroth
8000804;de:01062:8000804;Bargteheide
8000805;de:02000:70950;Hamburg-Barmbek
8000807;de:03251:7148;Barnstorf(Han)
8000808;de:03254:9924;Barnten
8000810;de:03251:7202;Barrien
8000812;de:03241:5678;Barsinghausen
8000815;de:03352:40930;Hemmoor
8000818;de:09679:5020;Ochsenfurt
8000821;de:08316:6531;Batzenhäusle
8000822;de:09373:17920;Batzhausen
8000823;de:08215:32617;Bauerbach
8000826;de:09471:21030;Baunach
8000827;de:03360:7618;Bavendorf
8000828;de:09277:10615;Bayerbach
8000830;de:09276:4726;Bayerisch Eisenstein
8000831;de:09172:90197;Bayerisch Gmain
8000832;de:05316:19901;Leverkusen Chempark
